Set Name,Number of Points,Graham Time (s),Jarvis Time (s),Delta (s),Faster Algorithm,Number of points in Graham's hull,Number of points in Jarvis' hull
Zbiór A,100,0.00225,0.00555,0.0033,Graham,12,12
Zbiór A,1000,0.02211,0.06842,0.04631,Graham,16,16
Zbiór A,2500,0.04703,0.22165,0.17462,Graham,22,22
Zbiór A,5000,0.10958,0.42926,0.31968,Graham,20,20
Zbiór A,10000,0.24414,1.30178,1.05764,Graham,29,29
Zbiór A,100000,2.53389,11.27448,8.74059,Graham,25,25
Zbiór B,100,0.00151,0.04393,0.04242,Graham,100,100
Zbiór B,1000,0.01238,4.29018,4.2778,Graham,1000,1000
Zbiór B,2500,0.03358,26.91266,26.87908,Graham,2500,2500
Zbiór B,5000,0.06444,106.00263,105.93819,Graham,5000,5000
Zbiór C,100,0.00168,0.00359,0.00191,Graham,8,8
Zbiór C,1000,0.01606,0.03642,0.02036,Graham,8,8
Zbiór C,2500,0.04858,0.10011,0.05153,Graham,8,8
Zbiór C,5000,0.09641,0.19532,0.09891,Graham,8,8
Zbiór C,10000,0.18237,0.41493,0.23256,Graham,8,8
Zbiór C,100000,2.19121,3.88167,1.69046,Graham,8,8
Zbiór D,100,0.002,0.00581,0.00381,Graham,4,4
Zbiór D,1000,0.00921,0.04285,0.03364,Graham,4,4
Zbiór D,2500,0.02343,0.1093,0.08587,Graham,4,4
Zbiór D,5000,0.05162,0.20792,0.1563,Graham,4,4
Zbiór D,10000,0.10097,0.43017,0.3292,Graham,4,4
Zbiór D,100000,1.41405,4.34798,2.93393,Graham,4,4
